timestamp,user_email,ip_address,device_id,access_result,reason
2025-07-27T12:54:11.312938,jane.doe@company.com,192.168.254.129,dev004,allow,Policy match
2025-07-27T21:39:11.312938,tom.wilson@partner.org,192.168.244.68,dev001,allow,Policy match
2025-07-27T18:37:11.312938,jane.doe@partner.org,192.168.170.175,dev003,deny,Time-based restriction
2025-07-27T20:59:11.312938,bob.jones@company.com,192.168.120.238,dev001,allow,Policy match
2025-07-27T06:52:11.312938,alice.smith@company.com,192.168.48.180,dev002,deny,IP reputation
2025-07-27T19:04:11.312938,john.doe@partner.org,192.168.116.12,dev002,deny,Time-based restriction
2025-07-27T18:46:11.312938,jane.doe@partner.org,192.168.95.219,dev001,allow,Policy match
2025-07-27T07:42:11.312938,john.doe@company.com,192.168.21.52,dev003,allow,Policy match
2025-07-27T07:46:11.312938,tom.wilson@company.com,192.168.91.123,dev002,deny,Unrecognized device
2025-07-27T19:54:11.312938,jane.doe@company.com,192.168.104.114,dev001,allow,Policy match
2025-07-27T11:29:11.312938,alice.smith@company.com,192.168.60.121,dev004,allow,Policy match
2025-07-27T18:18:11.312938,jane.doe@company.com,192.168.212.74,dev005,deny,Time-based restriction
2025-07-27T21:12:11.312938,jane.doe@partner.org,192.168.76.46,dev004,deny,MFA not completed
2025-07-27T13:15:11.312938,john.doe@company.com,192.168.87.229,dev002,allow,Policy match
2025-07-27T15:05:11.312938,tom.wilson@company.com,192.168.59.168,dev005,allow,Policy match
